Condiciones físicas del trabajo,Libertad para elegir tu propio método de trabajo,Tus compañeros de trabajo,Reconocimiento que obtienes por el trabajo bien hecho,Tu superior inmediato,Responsabilidad que se te ha asignado,Tu salario,La posibilidad de utilizar tus capacidades,Relaciones entre dirección y trabajadores en tu empresa,Tus posibilidades de promocionar,El modo en que tu empresa está gestionada,La atención que se presta a las sugerencias que haces,Tu horario de trabajo,La variedad de tareas que realizas en tu trabajo,Tu estabilidad en el empleo
Satisfecho,Satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy insatisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho
Moderadamente satisfecho,Moderadamente insatisfecho,Muy satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho
Moderadamente satisfecho,Moderadamente insatisfecho,Insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Muy satisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho
Ni satisfecho ni insatisfecho,Satisfecho,Muy satisfecho,Moderadamente insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Muy satisfecho
Muy insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Insatisfecho,Insatisfecho,Muy insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Moderadamente satisfecho,Muy insatisfecho
Moderadamente insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Insatisfecho,Insatisfecho,Insatisfecho,Moderadamente satisfecho,Insatisfecho,Insatisfecho
Muy satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho
Muy insatisfecho,Muy insatisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Moderadamente satisfecho,Muy satisfecho,Muy satisfecho,Muy insatisfecho,Insatisfecho,Muy satisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho
Muy insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho
Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Satisfecho,Moderadamente insatisfecho,Muy insatisfecho
Ni satisfecho ni insatisfecho,Insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Muy satisfecho,Satisfecho,Moderadamente satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Muy insatisfecho,Moderadamente satisfecho
Satisfecho,Insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Insatisfecho,Moderadamente satisfecho,Muy satisfecho,Satisfecho,Moderadamente insatisfecho,Satisfecho,Moderadamente insatisfecho,Muy satisfecho,Insatisfecho,Moderadamente insatisfecho,Satisfecho
